,Year,Week,Team,Record,%W,GB,STRK,PF,AVG_PF,PA,AVG_PA,DIV_Record,CON_Record
11,2021,12,The Adam´s Family,5-6-1,.458,1.5,T1,1780,148.3,1950,162.5,1-2-1,3-4-1
14,2021,12,Nafarroa Bills Kelly,6-6-0,.500,-,W2,2084,173.7,1894,157.8,3-1-0,5-3-0
15,2021,12,Pittsburgh Terror Lambert,6-6-0,.500,-,W1,1745,145.4,1781,148.4,2-2-0,2-6-0
16,2021,12,Indiana James,4-8-0,.333,2.0,L1,1596,133.0,1876,156.3,1-3-0,3-5-0
17,2021,12,El Predicador Almogávar,3-9-0,.250,3.0,L5,1599,133.2,1845,153.8,2-2-0,3-5-0
20,2021,12,Vlc Tigers Watt's,10-2-0,.833,-,L1,2020,168.3,1741,145.1,3-1-0,7-1-0
21,2021,12,Smith's Terrible Showdown,6-6-0,.500,4.0,W1,1927,160.6,1863,155.2,1-3-0,4-4-0
22,2021,12,Córdoba Gunslingers Favre,5-7-0,.417,5.0,L2,1764,147.0,1879,156.6,2-2-0,4-4-0
23,2021,12,Malaka Reed Poe,4-8-0,.333,6.0,W3,1611,134.2,1930,160.8,2-2-0,4-4-0
2,2021,13,Jrz French Faulk's,9-4-0,.692,-,W1,2079,159.9,1938,149.1,4-1-0,6-3-0
3,2021,13,Isma Ray Ravens,7-6-0,.538,2.0,L1,2228,171.4,2018,155.2,3-2-0,5-4-0
4,2021,13,Zgz Marino Phins,7-6-0,.538,2.0,W4,2032,156.3,1971,151.6,2-3-0,5-4-0
5,2021,13,Mile High Champ's,5-8-0,.385,4.0,L4,1932,148.6,2091,160.8,1-4-0,2-7-0
8,2021,13,GronkSpike,8-5-0,.615,-,W1,2369,182.2,2100,161.5,3-2-0,5-4-0
9,2021,13,San Joe Montana 49ers,7-5-1,.577,.5,W1,1999,153.8,1892,145.5,2-2-1,4-4-1
10,2021,13,Javier Big Ben Steelers,7-6-0,.538,1.0,L1,2050,157.7,2009,154.5,3-2-0,5-4-0
11,2021,13,The Adam´s Family,5-7-1,.423,2.5,L1,1934,148.8,2141,164.7,1-3-1,3-5-1
14,2021,13,Pittsburgh Terror Lambert,7-6-0,.538,-,W2,1891,145.5,1920,147.7,3-2-0,3-6-0
15,2021,13,Nafarroa Bills Kelly,6-7-0,.462,1.0,L1,2223,171.0,2040,156.9,3-2-0,5-4-0
16,2021,13,Indiana James,5-8-0,.385,2.0,W1,1770,136.2,2036,156.6,2-3-0,4-5-0
17,2021,13,El Predicador Almogávar,3-10-0,.231,4.0,L6,1759,135.3,2019,155.3,2-3-0,3-6-0
20,2021,13,Vlc Tigers Watt's,11-2-0,.846,-,W1,2167,166.7,1854,142.6,4-1-0,8-1-0
21,2021,13,Smith's Terrible Showdown,7-6-0,.538,4.0,W2,2090,160.8,1966,151.2,2-3-0,5-4-0
22,2021,13,Córdoba Gunslingers Favre,5-8-0,.385,6.0,L3,1877,144.4,2026,155.8,2-3-0,4-5-0
23,2021,13,Malaka Reed Poe,4-9-0,.308,7.0,L1,1714,131.8,2093,161.0,2-3-0,4-5-0
