Year,Pick,Ovr,Franchise,Player,Team,Position,Points
2020,1.01,1,San Joe Montana 49ers,Clyde Edwards-Helaire,KCC,RB,164
2020,1.02,2,Indiana James,Jonathan Taylor,IND,RB,238
2020,1.03,3,The Adam's Family,J.K. Dobbins,BAL,RB,163
2020,1.04,4,Vlc Tigers Watt's,D'Andre Swift,DET,RB,173
2020,1.05,5,El Predicador Almogávar,Cam Akers,LAR,RB,97
2020,1.06,6,GronkSpike,Justin Jefferson,MIN,WR,237
2020,1.07,7,Zgz Marino Phins,CeeDee Lamb,DAL,WR,196
2020,1.08,8,Córdoba Gunslingers Favre,Jerry Jeudy,DEN,WR,140
2020,1.09,9,Javier Big Ben Steelers,Henry Ruggs,LVR,WR,81
2020,1.1,10,Triana Bills Kelly,Joe Burrow,CIN,QB,198
2020,1.11,11,Pittsburgh Terror Lambert,Denzel Mims,NYJ,WR,53
2020,1.12,12,Malaka Reed Poe,Tua Tagovailoa,MIA,QB,159
2020,1.13,13,Darko LaDainian Texas *,Jalen Reagor,PHI,WR,83
2020,1.14,14,Triana Bills Kelly,Brandon Aiyuk,SFO,WR,165
2020,1.15,15,Smith's Terrible Showdown,Chase Young,WAS,DE,113
2020,1.16,16,Jrz French Faulk's,Tee Higgins,CIN,WR,171
2020,2.01,17,San Joe Montana 49ers,Ke'Shawn Vaughn,TBB,RB,21
2020,2.02,18,Indiana James,Michael Pittman,IND,WR,86
2020,2.03,19,The Adam's Family,Laviska Shenault,JAC,WR,140
2020,2.04,20,El Predicador Almogávar,Justin Herbert,LAC,QB,398
2020,2.05,21,El Predicador Almogávar,Zack Moss,BUF,RB,100
2020,2.06,22,GronkSpike,Chase Claypool,PIT,WR,193
2020,2.07,23,Zgz Marino Phins,AJ Dillon,GBP,RB,40
2020,2.08,24,Córdoba Gunslingers Favre,Darrynton Evans,TEN,RB,21
2020,2.09,25,San Joe Montana 49ers,Bryan Edwards,LVR,WR,34
2020,2.1,26,Isma Ray Ravens,Devin Duvernay,BAL,WR,69
2020,2.11,27,Pittsburgh Terror Lambert,Isaiah Simmons,ARI,LB,74
2020,2.12,28,Malaka Reed Poe,Kenneth Murray,LAC,LB,106
2020,2.13,29,Darko LaDainian Texas *,DeeJay Dallas,SEA,RB,52
2020,2.14,30,Triana Bills Kelly,Anthony McFarland,PIT,RB,25
2020,2.15,31,Darko LaDainian Texas *,K'Lavon Chaisson,JAC,DE,29
2020,2.16,32,Darko LaDainian Texas *,Patrick Queen,BAL,LB,140
2020,3.01,33,Isma Ray Ravens,Antonio Gandy-Golden,WAS,WR,3
2020,3.02,34,Indiana James,Lynn Bowden,MIA,RB,42
2020,3.03,35,The Adam's Family,Adam Trautman,NOS,TE,37
2020,3.04,36,Vlc Tigers Watt's,Jeff Okudah,DET,CB ,62
2020,3.05,37,El Predicador Almogávar,Cole Kmet,CHI,TE,53
2020,3.06,38,GronkSpike,Joshua Kelley,LAC,RB,74
2020,3.07,39,Zgz Marino Phins,Devin Asiasi,NEP,TE,11
2020,3.08,40,Córdoba Gunslingers Favre,Josiah Deguara,GBP,TE,2
2020,3.09,41,Javier Big Ben Steelers,Jordan Love,GBP,QB,-
2020,3.1,42,Triana Bills Kelly,Eno Benjamin,ARI,RB,-
2020,3.11,43,Triana Bills Kelly,Antonio Gibson,WAS,RB,193
2020,3.12,44,Malaka Reed Poe,A.J. Epenesa,BUF,DE,23
2020,3.13,45,San Joe Montana 49ers,Yetur Gross-Matos,CAR,DE,33
2020,3.14,46,Triana Bills Kelly,KJ Hamler,DEN,WR,80
2020,3.15,47,Smith's Terrible Showdown,CJ Henderson,JAC,CB ,46
2020,3.16,48,Darko LaDainian Texas *,Tyler Johnson,TBB,WR,38
2020,4.01,49,Javier Big Ben Steelers,Xavier McKinney,NYG,S,27
2020,4.02,50,Indiana James,Darrell Taylor,SEA,DE,-
2020,4.03,51,The Adam's Family,Grant Delpit,CLE,S,-
2020,4.04,52,Zgz Marino Phins,Jordyn Brooks,SEA,LB,54
2020,4.05,53,El Predicador Almogávar,Van Jefferson,LAR,WR,43
2020,4.06,54,GronkSpike,Lamical Perine,NYJ,RB,51
2020,4.07,55,Zgz Marino Phins,Antoine Winfield,TBB,S,111
2020,4.08,56,Córdoba Gunslingers Favre,Jacob Eason,IND,QB,-
2020,4.09,57,Javier Big Ben Steelers,Curtis Weaver,CLE,DE,-
2020,4.1,58,Córdoba Gunslingers Favre,Derrick Brown,CAR,DT ,58
2020,4.11,59,Pittsburgh Terror Lambert,Javon Kinlaw,SFO,DT ,56
2020,4.12,60,Malaka Reed Poe,James Proche,BAL,WR,11
2020,4.13,61,Jrz French Faulk's,Marlon Davidson,ATL,DT ,6
2020,4.14,62,Isma Ray Ravens,Julian Okwara,DET,DE,5
2020,4.15,63,Triana Bills Kelly,Jeremy Chinn,CAR,S,138
2020,4.16,64,Jrz French Faulk's,Zack Baun,NOS,LB,13
2020,4.17,65,Zgz Marino Phins,Josh Uche,NEP,DE,16
2020,4.18,66,Jrz French Faulk's,Justin Madubuike,BAL,DT ,24
2020,4.19,67,Triana Bills Kelly,Akeem Davis-Gaither,CIN,LB,36
2020,5.01,68,San Joe Montana 49ers,Logan Wilson,CIN,LB,50
2020,5.02,69,Indiana James,Ashtyn Davis,NYJ,S,39
2020,5.03,70,The Adam's Family,Malik Harrison,BAL,LB,41
2020,5.04,71,Vlc Tigers Watt's,Isaiah Hodgins,BUF,WR,-
2020,5.05,72,El Predicador Almogávar,Gabriel Davis,BUF,WR,130
2020,5.06,73,GronkSpike,Thaddeus Moss,WAS,TE,-
2020,5.07,74,Zgz Marino Phins,Donovan Peoples-Jones,CLE,WR,66
2020,5.08,75,San Joe Montana 49ers,Quintez Cephus,DET,WR,61
2020,5.09,76,Javier Big Ben Steelers,Trevon Diggs,DAL,CB ,89
2020,5.1,77,Isma Ray Ravens,Darnell Mooney,CHI,WR,128
2020,5.11,78,Pittsburgh Terror Lambert,Bryce Hall,NYJ,CB ,46
2020,5.12,79,Malaka Reed Poe,Geno Stone,HOU,S,0
2020,5.13,80,Jrz French Faulk's,Justin Strnad,DEN,LB,-
2020,5.14,81,Triana Bills Kelly,Anfernee Jennings,NEP,DE,17
2020,5.15,82,Smith's Terrible Showdown,Albert Okwuegbunam,DEN,TE,26
2020,5.16,83,Darko LaDainian Texas *,Jeff Gladney,MIN,CB ,92
2020,5.17,84,San Joe Montana 49ers,Kyle Dugger,NEP,S,61
2020,5.18,85,The Adam's Family,Damon Arnette,LVR,CB ,28
2020,5.19,86,Zgz Marino Phins,Ross Blacklock,HOU,DT ,15
2020,5.2,87,Pittsburgh Terror Lambert,Jordan Elliott,CLE,DT ,13
2020,5.21,88,Malaka Reed Poe,Jauan Jennings,SFO,WR,-
2020,5.22,89,Triana Bills Kelly,Neville Gallimore,DAL,DT ,34
2020,5.23,90,Córdoba Gunslingers Favre,Harrison Bryant,CLE,TE,56
2020,5.24,91,Malaka Reed Poe,Tyrie Cleveland,DEN,WR,19
2020,5.25,92,Isma Ray Ravens,A.J. Terrell,ATL,CB ,94
2020,6.01,93,Córdoba Gunslingers Favre,Tyler Bass,BUF,PK,167
2020,6.02,94,Indiana James,Shaquille Quarterman,JAC,LB,6
2020,6.03,95,Darko LaDainian Texas *,Jalen Hurts,PHI,QB,121
2020,6.04,96,Vlc Tigers Watt's,Collin Johnson,JAC,WR,53
2020,6.05,97,El Predicador Almogávar,Sam Sloman,TEN,PK,58
2020,6.06,98,GronkSpike,Dalton Keene,NEP,TE,6
2020,6.07,99,Zgz Marino Phins,Jonathan Greenard,HOU,LB,23
2020,6.08,100,Córdoba Gunslingers Favre,Kamal Martin,GBP,LB,31
2020,6.09,101,Javier Big Ben Steelers,Willie Gay,KCC,LB,52
2020,6.1,102,Malaka Reed Poe,Carlos Davis,PIT,DT ,8
2020,6.11,103,Pittsburgh Terror Lambert,Terrell Burgess,LAR,S,9
2020,6.12,104,San Joe Montana 49ers,Jaylon Johnson,CHI,CB ,59
